wavenos,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
905,-0.029157424,0.023782615,0.002045954,0.099555966,0.071559068,0.045727393,0.10194159,0.076780455,0.127951273,0.1427795,0.001784429,0.062249048,0.026611771,-0.014993853,0.146051218,0.087426605,0.094488753,0.011303993,0.400359852,0.15029569,0.027243444,0.002092713,0.155949822,0.027668064,0.089477263,0.051240773,0.103749093,-5.74E-05,0.906321887,0.004035104,-0.00085302,0.056677621,0.067762736
906,-0.018358073,0.008324125,0.002107525,0.064692474,0.055299908,0.021676813,0.082146843,0.041419316,0.087931967,0.11313849,0.001061602,0.048910811,0.026904914,-0.012717777,0.113199522,0.054752015,0.091458539,0.002422013,0.263925973,0.105206983,0.019162207,0.003299332,0.119296555,0.027098343,0.065231564,0.033881289,0.061770785,0.000168444,0.830555016,-0.005480505,-0.000281308,0.041352486,0.064936655
907,-0.00642992,-0.007769508,0.002029895,0.025058628,0.035649812,-0.004700473,0.0561047,0.00322223,0.041254335,0.076336341,0.00089922,0.032545212,0.026451246,-0.010341982,0.07346115,0.018817951,0.084147695,-0.006426564,0.108010714,0.052603492,0.009809091,0.004550596,0.075221422,0.025354637,0.037656236,0.014403997,0.01358974,0.000412124,0.661419179,-0.014416366,0.000365542,0.023234139,0.059710927
908,0.003150426,-0.019870663,0.001857267,-0.008151412,0.018517667,-0.026236415,0.030892631,-0.027003621,0.000854938,0.043735137,0.002049578,0.018206362,0.026321778,-0.009094141,0.039104973,-0.00931861,0.076349548,-0.01313836,-0.023164343,0.007514785,0.001922057,0.005700037,0.037250112,0.024323092,0.016204725,-0.001321999,-0.028183068,0.000678535,0.431871892,-0.019737519,0.000956284,0.007587111,0.055300612
909,0.006943575,-0.023910572,0.001692628,-0.023925319,0.009829744,-0.036266529,0.014400542,-0.039031442,-0.020076793,0.026611666,0.004719191,0.010978002,0.027519402,-0.009945673,0.02256857,-0.020024562,0.071968821,-0.01543243,-0.086290301,-0.015029569,-0.001778673,0.00664064,0.018679845,0.024588793,0.008731295,-0.007636567,-0.051316148,0.000928592,0.192612053,-0.019538737,0.001365362,-0.000236983,0.055580962
910,0.00174301,-0.01647996,0.00165938,-0.01157844,0.015857056,-0.028650559,0.015226789,-0.023359281,-0.008451372,0.036999313,0.009064093,0.016169636,0.031412098,-0.013697891,0.036755818,-0.0039793,0.076312546,-0.011595037,-0.038888256,0,0.001414139,0.007306471,0.033387562,0.027109105,0.023198614,0.000938708,-0.043873239,0.001106246,0.012564364,-0.012340476,0.00147892,0.005158395,0.06490068
911,-0.000477524,-0.012443767,0.001660084,-0.009605739,0.014610596,-0.026667991,0.007330689,-0.017242238,-0.009305907,0.033266559,0.012707799,0.01546189,0.033083971,-0.015656597,0.037375049,0.000238161,0.071938914,-0.008935961,-0.033781706,0,0.001884643,0.008086826,0.03224526,0.025909999,0.02618276,0.004335929,-0.048448522,0.001321073,-0.21139168,-0.007653584,0.001746258,0.005174434,0.071021816
912,-0.002779777,-0.008641145,0.001833186,-0.007612774,0.01262023,-0.024675298,0.000181487,-0.011917477,-0.009616257,0.028347162,0.015701957,0.014568188,0.034030759,-0.016630963,0.037676144,0.001730144,0.065400271,-0.005985517,-0.029307478,0,0.002330628,0.008952157,0.029736515,0.023400765,0.026262975,0.007595536,-0.052986253,0.001494011,-0.393118534,-0.004301338,0.002014356,0.005262613,0.078341766
913,-0.004859736,-0.00504416,0.00218296,-0.005514528,0.009951925,-0.022306158,-0.006147974,-0.007376225,-0.009454602,0.022209254,0.018044433,0.013436697,0.033717983,-0.016820205,0.037348996,0.000894652,0.05622923,-0.003508407,-0.024986549,0,0.002764999,0.009809704,0.025962694,0.020137866,0.023719228,0.010407358,-0.056614895,0.001628511,-0.516791492,-0.001702055,0.002277156,0.005331013,0.086882954
914,-0.006341267,-0.001993931,0.002682084,-0.003416202,0.006987782,-0.01982261,-0.011363412,-0.003770763,-0.008989451,0.015436743,0.019774088,0.012270672,0.032222341,-0.016846944,0.036586571,-0.001694305,0.045462297,-0.001892419,-0.020963795,0,0.003204617,0.010654696,0.021541665,0.016707709,0.019240736,0.012503864,-0.059175152,0.001738929,-0.578733539,0.000431075,0.002526232,0.005370296,0.096400805
