label,polymer,best_pr,pixel_count,area_um2,area_mm2
1,unresolved polyethylene (low confidence),0.281701819842452,30885.0,126504960.0,126.50496
2,polyamide (low confidence),0.05000582399978445,9.0,36864.0,0.036864
3,polyethylene (low confidence),0.2651832794212638,7.0,28672.0,0.028672
4,polyethylene,0.39746844612867355,95.0,389120.0,0.38912
5,polyethylene (low confidence),0.14144821782841063,25.0,102400.0,0.1024
6,unresolved polyethylene (low confidence),0.12321950356994008,5.0,20480.0,0.02048
7,small particle,0.0,1.0,4096.0,0.004096
8,unresolved polyethylene (low confidence),0.061497613320906114,7.0,28672.0,0.028672
9,polyurethane (low confidence),0.04469076383171945,17.0,69632.0,0.069632
10,small particle,0.0,1.0,4096.0,0.004096
11,acrylic (low confidence),0.12175420283698447,55.0,225280.0,0.22528
12,polyamide (low confidence),0.17088126183220118,109.0,446464.0,0.446464
13,small particle,0.0,3.0,12288.0,0.012288
14,small particle,0.0,1.0,4096.0,0.004096
15,polycarbonate (low confidence),0.0936341049088826,26.0,106496.0,0.106496
16,acrylic (low confidence),0.18555473451673127,669.0,2740224.0,2.740224
17,polypropylene,0.39721891474286947,14.0,57344.0,0.057344
18,small particle,0.0,4.0,16384.0,0.016384
19,small particle,0.0,2.0,8192.0,0.008192
20,small particle,0.0,4.0,16384.0,0.016384
21,polycarbonate (low confidence),0.041204174213227175,6.0,24576.0,0.024576
22,small particle,0.0,2.0,8192.0,0.008192
23,polyurethane (low confidence),0.0462209121105584,14.0,57344.0,0.057344
24,small particle,0.0,1.0,4096.0,0.004096
25,unresolved polyethylene (low confidence),0.18453116179274925,16.0,65536.0,0.065536
26,poly(vinyl alcohol) (low confidence),0.044050480868468814,6.0,24576.0,0.024576
27,small particle,0.0,1.0,4096.0,0.004096
28,small particle,0.0,1.0,4096.0,0.004096
29,polyester/alkyd,0.4438525065181385,1753.0,7180288.0,7.180288
30,poly(vinyl alcohol) (low confidence),0.07126744077627713,13.0,53248.0,0.053248
31,polyethylene,0.500404716503371,21.0,86016.0,0.086016
32,small particle,0.0,4.0,16384.0,0.016384
33,small particle,0.0,4.0,16384.0,0.016384
34,poly(2 6 dimethyl p phenylene oxide) (low confidence),0.03416142673180282,5.0,20480.0,0.02048
35,polylactic acid (low confidence),0.042818732203198644,139.0,569344.0,0.569344
36,cellulose (low confidence),0.0778822255283628,7.0,28672.0,0.028672
37,polyethylene (low confidence),0.08497720986388056,8.0,32768.0,0.032768
38,small particle,0.0,2.0,8192.0,0.008192
39,small particle,0.0,1.0,4096.0,0.004096
40,chitin (low confidence),0.08175154546619465,18.0,73728.0,0.073728
41,small particle,0.0,1.0,4096.0,0.004096
42,polylactic acid (low confidence),0.024134736913865754,19.0,77824.0,0.077824
43,cellulose (low confidence),0.10630538434625246,81.0,331776.0,0.331776
44,poly(phenylene sulfide) (low confidence),0.05798739318049406,40.0,163840.0,0.16384
45,silica (low confidence),0.05511434478190789,8.0,32768.0,0.032768
46,polypropylene (low confidence),0.20839290524603707,303.0,1241088.0,1.241088
47,small particle,0.0,1.0,4096.0,0.004096
48,polysulfone (low confidence),0.03469429733984918,8.0,32768.0,0.032768
49,polyester,0.3520201822026016,19.0,77824.0,0.077824
50,unresolved polyethylene (low confidence),0.18732105723589926,31.0,126976.0,0.126976
51,acrylic,0.36093563860689093,1619.0,6631424.0,6.631424
52,polyethylene,0.3082857346140046,10.0,40960.0,0.04096
53,polyurethane (low confidence),0.02949116403007093,18.0,73728.0,0.073728
54,polypropylene (low confidence),0.05054465864770911,9.0,36864.0,0.036864
55,small particle,0.0,1.0,4096.0,0.004096
56,unresolved polyethylene (low confidence),0.12068482585646467,6.0,24576.0,0.024576
57,small particle,0.0,1.0,4096.0,0.004096
58,small particle,0.0,1.0,4096.0,0.004096
59,small particle,0.0,4.0,16384.0,0.016384
